BusinessName,DBAName,Address,City,State,Zip,LICSTATUS,LICENSECAT,DESCRIPT,LicenseAddDtTm,DAYPHN,Property_ID,Location
D'ANGELO'S,,267 OLD COLONY ,SOUTH BOSTON,MA,02127,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:34:06 PM,+17814611200,,"(42.3594, -71.0587)"
D'ANGELO'S,,700 Atlantic,Boston,MA,02111,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:35:28 PM,+17814611200,156723,"(42.3594, -71.0587)"
D'ANGELOS SANDWICH SHOP,,875 WM T MORRISSEY ,DORCHESTER,MA,02122,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:33:55 PM,+17814611200,,"(42.3594, -71.0587)"
D'ANGELO'S SANDWICH SHOP,,8 Park,Boston,MA,02116,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:34:36 PM,+10000000000,158173,"(42.351362, -71.06874)"
Darbar Indo-Pak Rest.,,130 North Beacon,Brighton,MA,02135,Active,FS,Eating & Drinking,08/07/2009 10:39:22 AM,+10000000000,,"(42.3594, -71.0587)"
Darryls Corner Bar & Kitchen,,604 Columbus,Roxbury,MA,02118,Active,FS,Eating & Drinking,03/14/2008 09:33:47 AM,+16175361100,36029,"(42.339774, -71.082398)"
Dash Cafe,,1 Henshaw,Brighton,MA,02135,Active,FS,Eating & Drinking,04/25/2012 12:22:15 PM,+16172542797,166187,"(42.349463, -71.149648)"
Davide's,,326 Commercial,Boston,MA,02109,Active,FS,Eating & Drinking,12/07/2006 01:33:56 PM,+16172275745,157365,"(42.365345, -71.051298)"
DAVIO'S,,75 Arlington,Boston,MA,02117,Active,FS,Eating & Drinking,12/07/2006 01:35:39 PM,+16177974810,156164,"(42.350682, -71.070358)"
DAYIB CAFE,,722 Shawmut,Roxbury,MA,02119,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:35:49 PM,+16176995306,157649,"(42.332783, -71.083221)"
